Tabelle: 12711-0008
Wanderungen zwischen Deutschland und dem Ausland:;;;
Deutschland, Jahre, Nationalität, Herkunfts-/Zielländer;;;
Wanderungsstatistik;;;;;;
Deutschland;;;;;;
;Deutsche;;;;;
;Zuzüge aus dem Ausland;;Fortzüge in das Ausland;;Wanderungssaldo;
;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
2000;;;;;;
Georgien;88;e;34;e;54;e
Vietnam;108;e;139;e;-31;e
Korea, Demokratische Volksrepublik;53;e;44;e;9;e
Indien;378;e;404;e;-26;e
Indonesien;258;e;220;e;38;e
Irak;48;e;162;e;-114;e
Iran, Islamische Republik;184;e;313;e;-129;e
Israel;289;e;416;e;-127;e
Japan;498;e;511;e;-13;e
Kasachstan;17750;e;671;e;17079;e
Jordanien;149;e;153;e;-4;e
Kuwait;33;e;67;e;-34;e
Kirgisistan;1430;e;58;e;1372;e
Libanon;305;e;437;e;-132;e
Pakistan;241;e;248;e;-7;e
Philippinen;377;e;421;e;-44;e
Korea, Republik;88;e;105;e;-17;e
Vereinigte Arabische Emirate;258;e;612;e;-354;e
Tadschikistan;38;e;51;e;-13;e
Saudi-Arabien;155;e;123;e;32;e
Singapur;320;e;469;e;-149;e
Syrien;150;e;167;e;-17;e
Thailand;720;e;885;e;-165;e
Usbekistan;616;e;44;e;572;e
China;837;e;1696;e;-859;e
Übriges Asien;729;e;776;e;-47;e
Australien;1335;e;2190;e;-855;e
Neuseeland;370;e;705;e;-335;e
Übriges Ozeanien;95;e;71;e;24;e
Unbekanntes Ausland;0;e;0;e;0;e
Ungeklärt / Ohne Angabe;41117;e;35947;e;5170;e
Insgesamt;177993;e;150667;e;27326;e
2005;;;;;;
Albanien;29;e;39;e;-10;e
Bosnien und Herzegowina;69;e;78;e;-9;e
Andorra;9;e;12;e;-3;e
Belgien;2033;e;2491;e;-458;e
Bulgarien;154;e;178;e;-24;e
Dänemark;547;e;889;e;-342;e
Estland;76;e;69;e;7;e
Finnland;188;e;327;e;-139;e
Frankreich;5593;e;7316;e;-1723;e
Kroatien;252;e;378;e;-126;e
Slowenien;71;e;195;e;-124;e
Griechenland;772;e;1236;e;-464;e
Irland;506;e;1017;e;-511;e
Island;34;e;106;e;-72;e
Italien;2498;e;3435;e;-937;e
Lettland;83;e;72;e;11;e
Montenegro (ab 03.06.2006);0;e;0;e;0;e
Litauen;159;e;96;e;63;e
Luxemburg;567;e;828;e;-261;e
Nordmazedonien;42;e;49;e;-7;e
Malta;44;e;62;e;-18;e
Niederlande;3603;e;3404;e;199;e
Norwegen;381;e;991;e;-610;e
Kosovo;0;e;0;e;0;e
Österreich;4437;e;9314;e;-4877;e
Polen;12214;e;9229;e;2985;e
Portugal;725;e;946;e;-221;e
Rumänien;514;e;520;e;-6;e
Slowakei;137;e;231;e;-94;e
Schweden;623;e;1422;e;-799;e
Schweiz;5184;e;14409;e;-9225;e
Russische Föderation;20588;e;2423;e;18165;e
Spanien;5972;e;7317;e;-1345;e
Türkei;1592;e;2795;e;-1203;e
