year,origin,destination,migrants
2004,Germany,Zentralafrikanische Republik,8.0
2004,Germany,Zypern,152.0
2004,Germany,Ägypten,387.0
2004,Germany,Äthiopien,108.0
2004,Germany,Österreich,8532.0
2004,Germany,Übriges Afrika,501.0
2004,Germany,Übriges Amerika,732.0
2004,Germany,Übriges Asien,776.0
2004,Germany,Übriges Europa,443.0
2004,Germany,Übriges Ozeanien,71.0
2005,Germany,Afghanistan,169.0
2005,Germany,Albanien,39.0
2005,Germany,Algerien,128.0
2005,Germany,Andorra,12.0
2005,Germany,Angola,10.0
2005,Germany,Argentinien,374.0
2005,Germany,Armenien,10.0
2005,Germany,Aserbaidschan,24.0
2005,Germany,Australien,2512.0
2005,Germany,Belarus,49.0
2005,Germany,Belgien,2491.0
2005,Germany,"Bolivien, Plurinationaler Staat",143.0
2005,Germany,Bosnien und Herzegowina,78.0
2005,Germany,Brasilien,1371.0
2005,Germany,Bulgarien,178.0
2005,Germany,Chile,326.0
2005,Germany,China,2028.0
2005,Germany,Costa Rica,118.0
2005,Germany,Cote d'Ivoire,14.0
2005,Germany,Dänemark,889.0
2005,Germany,Estland,69.0
2005,Germany,Finnland,327.0
2005,Germany,Frankreich,7316.0
2005,Germany,Georgien,39.0
2005,Germany,Ghana,155.0
2005,Germany,Griechenland,1236.0
2005,Germany,Honduras,40.0
2005,Germany,Indien,545.0
2005,Germany,Indonesien,309.0
2005,Germany,Irak,217.0
2005,Germany,"Iran, Islamische Republik",313.0
2005,Germany,Irland,1017.0
2005,Germany,Island,106.0
2005,Germany,Israel,455.0
2005,Germany,Italien,3435.0
2005,Germany,Japan,578.0
2005,Germany,Jemen,54.0
2005,Germany,Jordanien,131.0
2005,Germany,Kamerun,46.0
2005,Germany,Kanada,3029.0
2005,Germany,Kasachstan,728.0
2005,Germany,Kenia,192.0
2005,Germany,Kirgisistan,50.0
2005,Germany,Kolumbien,209.0
2005,Germany,"Kongo, Demokratische Republik",22.0
2005,Germany,"Kongo, Republik",19.0
2005,Germany,"Korea, Demokratische Volksrepublik",37.0
2005,Germany,"Korea, Republik",130.0
2005,Germany,Kosovo,0.0
2005,Germany,Kroatien,378.0
2005,Germany,Kuwait,82.0
2005,Germany,Lettland,72.0
2005,Germany,Libanon,448.0
2005,Germany,Libyen,43.0
2005,Germany,Litauen,96.0
2005,Germany,Luxemburg,828.0
2005,Germany,Malta,62.0
2005,Germany,Marokko,208.0
2005,Germany,Mexiko,593.0
2005,Germany,Montenegro (ab 03.06.2006),0.0
2005,Germany,Namibia,228.0
2005,Germany,Neuseeland,853.0
2005,Germany,Nicaragua,38.0
2005,Germany,Niederlande,3404.0
2005,Germany,Niger,12.0
2005,Germany,Nigeria,132.0
2005,Germany,Nordmazedonien,49.0
